DEBUG;NOME_VIA;NOME_NORM;DIST
0;Via Teresa Menghi;Via Teresa Menghi;1.0
2a;Via Montello;Via Montello;1.0
2b;Via Santa Bona;Via Santa Bona Nuova;0.688888888889
0;Via del Daino;Via del Daino;1.0
0;Via le Canevare;Via Le Canevare;1.0
0;Vicolo Sebastiano Venier;Vicolo Sebastiano Venier;1.0
0;Vicolo Marco Polo;Vicolo Marco Polo;1.0
0;Via Martiri della Libertà;Via Martiri della Libertà;1.0
0;Via Andrea Gritti;Via Andrea Gritti;1.0
0;Strada di San Pelaio;Strada di San Pelaio;1.0
0;Via 7 Aprile 1944;Via Sette Aprile;1.0
2;Via Giuriati;Via Giuriati;
0;Stradella Interna B;Stradella Interna B;1.0
1;Via Ghirada;Via Ghirada;1.0
2a;Via Collalto;Via Collalto;1.0
0;Strada dei Biscari;Strada dei Biscari;1.0
1;Via A. de Fantis;Via Antonio de Fantis;0.75
2b;Via Vittorio Veneto;Viale Vittorio Veneto;0.866666666667
0;Via degli Stretti;Via degli Stretti;1.0
1;Via Biscaro;Via Gerolamo Biscaro;0.816496580928
0;Via Giovanni Battista Ramusio;Via Giovanni Battista Ramusio;1.0
1;Via Oderzo;Via Oderzo;1.0
2b;Via Francesco Mariapreti;Via Francesco Maria Preti;0.657142857143
2;Passeggiata mura;DELETE;
0;Via Jacopo Riccati;Via Jacopo Riccati;1.0
0;Via Marcello Filosseno;Via Marcello Filosseno;1.0
0;Via Zenson Di Piave;Via Zenson di Piave;1.0
1;Via Calzavara;Via Ernesto Calzavara;0.816496580928
1;Vicolo Venier;Vicolo Sebastiano Venier;0.816496580928
0;Via Vittorio Bachelet;Via Vittorio Bachelet;1.0
0;Via Toni Benetton;Via Toni Benetton;1.0
0;Viale Guglielmo Oberdan;Viale Guglielmo Oberdan;1.0
2b;Piazza della Università;Piazza dell'Università;0.744318181818
1;Vicolo Campana;Vicolo Campana;1.0
2a;Vicolo Santa Maria dei Battuti;Vicolo Santa Maria dei Battuti;1.0
0;Via Bernardino Tomitano;Via Bernardino Tomitano;1.0
0;Via Ada Negri;Via Ada Negri;1.0
0;Via Massimo d'Azeglio;Via Massimo d'Azeglio;1.0
0;Strada Sant'Agnese;Strada Sant'Agnese;1.0
0;Via Guglielmo Marconi;Via Guglielmo Marconi;1.0
1;Via Pozzobon;Via Giovanni Pozzobon;0.816496580928
0;Via Tre Venezie;Via Tre Venezie;1.0
1;Via Pavan;Via Antonio Pavan;0.816496580928
0;Via Rosa Zalivani;Via Rosa Zalivani;1.0
1;Vicolo Noalese;Vicolo Noalese;1.0
1;Via Fogazzaro;Via Antonio Fogazzaro;0.816496580928
2b;Via Pietro Andrea Saccardo;Via Pier Andrea Saccardo;0.922222222222
1;Via Paludi;Via Paludi;1.0
0;Viale della Repubblica;Viale della Repubblica;1.0
1;Via Ronchese;Via Angelo Ronchese;0.816496580928
0;Via Gruppo Conegliano;Via Gruppo Conegliano;1.0
0;Via del Comune;Via del Comune;1.0
0;Via Pietro D'Asolo;Via Pietro d'Asolo;1.0
1;Via Fiumicelli;Via Lodovico Fiumicelli;0.816496580928
2;Via G.B.Marchiori;Via Giovanni Battista Marchiori;
1;Via Ruzzante;Via Ruzzante;1.0
1;Viale Orleans;Viale Orleans;1.0
0;Via Luigi Borro;Via Luigi Borro;1.0
2b;Strada delle Zecchette;Via Zecchette;0.297407407407
0;Piazza del Quartiere Latino;Piazza del Quartiere Latino;1.0
0;Via Luigi Gasparinetti;Via Luigi Gasparinetti;1.0
0;Corso del Popolo;Corso del Popolo;1.0
1;Via Turazza;Via Quirico Turazza;0.816496580928
0;Via Sant'Artemio;Via Sant'Artemio;1.0
2;Via Feltrina;Strada Feltrina;
0;Via Cavalleggeri di Treviso;Via Cavalleggeri di Treviso;1.0
0;Porta Carlo Alberto;Porta Carlo Alberto;1.0
0;Vicolo del Vento;Vicolo del Vento;1.0
0;Vicolo Sant'Antonino A;Vicolo Sant'Antonino A;1.0
0;Ponte de Pria;Ponte de Pria;1.0
0;Vicolo Sant'Antonino C;Vicolo Sant'Antonino C;1.0
2;Accesso Edificio 4;Accesso Edificio 4;
2;Accesso Edificio 3;Accesso Edificio 3;
2b;Via Cà Zenobio;Strada di Ca' Zenobio;0.666666666667
2b;Strada di Mure;Via Mure;0.555555555556
0;Via Generale Antonio Cantore;Via generale Antonio Cantore;1.0
0;Via Umberto Saba;Via Umberto Saba;1.0
2;Accesso Edificio 9;Accesso Edificio 9;
0;Vicolo Castello d'Amore;Vicolo Castello d'Amore;1.0
0;Via Teodoro de lellis;Via Teodoro de Lellis;1.0
1;Via Tripolitania;Via Tripolitania;1.0
1;Via Coghetto;Via Medoro Coghetto;0.816496580928
0;Via Panfilo Castaldi;Via Panfilo Castaldi;1.0
1;Borgo Cavalli;Borgo Cavalli;1.0
1;Via Legnano;Via Legnano;1.0
2;Via Galletto;Strada del Galletto;
0;Via Girolamo da Treviso;Via Girolamo da Treviso;1.0
0;Via Sordello da Goito;Via Sordello da Goito;1.0
1;Via Roncole;Via Roncole;1.0
0;Via Ospedale Provinciale;Via Ospedale Provinciale;1.0
2;Via Baccaruzzi;Via Francesco Beccaruzzi;
1;Via Umbria;Via Umbria;1.0
1;Via Castelmenardo;Via Castelmenardo;1.0
1;Borgo Mestre;Borgo Mestre;1.0
1;Via Botteniga;Via Botteniga;1.0
0;Viale San Marco;Viale San Marco;1.0
0;Via Tito Livio;Via Tito Livio;1.0
0;Via Andrea Mantegna;Via Andrea Mantegna;1.0
0;Via Generale Alessandro Guidotti;Via generale Alessandro Guidotti;1.0
2b;Via del Mozzato;Strada del Mozzato;0.688888888889
0;Viale Alcide De Gasperi;Viale Alcide De Gasperi;1.0
1;Via Fossaggera;Via Fossaggera;1.0
1;Via Capponi;Via Nicolò Capponi;0.816496580928
0;Via Sant'Antonino;Via Sant'Antonino;1.0
0;Via Don Giovanni Favaretto;Via don Giovanni Favaretto;1.0
0;Via Gioacchino Rossini;Via Gioacchino Rossini;1.0
1;Via Asiago;Via Asiago;1.0
1;Vicolo Barberia;Vicolo Barberia;1.0
1;Via Inghilterra;Via Inghilterra;1.0
0;Bastioni San Paolo;Bastioni San Paolo;1.0
2b;Piazza San Pio X;Piazza San Pio decimo;0.722222222222
2;Treviso Mare;Treviso Mare;
0;Via Sante Zanon;Via Sante Zanon;1.0
1;Via Pola;Via Pola;1.0
2;Vicolo Firenze;Via Firenze;
2b;Via Giuseppe Bindoni;Via Giuseppe e Vincenzo Bindoni;0.67619047619
0;Via Daniele Manin;Via Daniele Manin;1.0
1;Via Zermanese;Via Zermanese;1.0
0;Via Antonio Dal Legname;Via Antonio dal Legname;1.0
1;Via Irlanda;Via Irlanda;1.0
0;Via Gino Rocca;Via Gino Rocca;1.0
1;Via Dogali;Via Dogali;1.0
2;Via Durant;Via Enrico Dunant;
0;Via Jacopo Sansovino;Via Jacopo Sansovino;1.0
1;Vicolo Bianchetti;Vicolo Giuseppe Bianchetti;0.816496580928
1;Località Furo di Sant'Antonio;Localita' Furo di Sant'Antonino;0.8
0;Via Giavera del Montello;Via Giavera del Montello;1.0
1;Via Piemonte;Via Piemonte;1.0
2;Via Treforni;Via Treforni;
1;Via A.Voltolin;Via Aldo Voltolin;0.666666666667
1;Via Ortigara;Via Ortigara;1.0
0;Via dell'Immacolata;Via dell'Immacolata;1.0
1;Via Abruzzo;Via Abruzzo;1.0
1;Via Roma;Via Roma;1.0
0;Via Mario Fiore;Via Mario Fiore;1.0
0;Via Sebastiano Caboto;Via Sebastiano Caboto;1.0
1;Via Marzabotto;Via Marzabotto;1.0
1;Via Stangade;Via Stangade;1.0
1;Via Gentilin;Via Antonio Gentilin;0.816496580928
1;Via Commenda;Via Commenda;1.0
0;Via Pietro Bertolini;Via Pietro Bertolini;1.0
0;Via Ugo Foscolo;Via Ugo Foscolo;1.0
0;Via Don Giacomo Alberione;Via don Giacomo Alberione;1.0
0;Vicolo Andrea Lucchesi;Vicolo Andrea Lucchesi;1.0
0;Viale Fratelli Cairoli;Viale Fratelli Cairoli;1.0
0;Via El Alamein;Via El Alamein;1.0
0;Via Priorato Sant'Antonio;Via Priorato Sant'Antonio;1.0
1;Via Cornarotta;Via Cornarotta;1.0
0;Via Simone da Montona;Via Simone da Montona;1.0
0;Via Sebastiano Venier;Via Sebastiano Venier;1.0
0;Via Enselmino da Montebelluna;Via Enselmino da Montebelluna;1.0
2;Via Livello;Via Livello;
0;Via Nervesa della Battaglia;Via Nervesa della Battaglia;1.0
0;Via Buca dell'Olio;Via Buca dell'Olio;1.0
1;Vicolo Pescatori;Vicolo Pescatori;1.0
0;Via dell'Isola;Via dell'Isola;1.0
1;Via Berlese;Via Antonio Berlese;0.816496580928
0;Via Damiano Chiesa;Via Damiano Chiesa;1.0
1;Via Rosselli;Via Carlo Rosselli;0.816496580928
1;Piazza Indipendenza;Piazza Indipendenza;1.0
0;Via Col di Lana;Via Col di Lana;1.0
0;Via Enrico Azzi;Via Azzi Enrico;1.0
0;Via Luigi Pastro;Via Luigi Pastro;1.0
2b;Strada siora Andriana dal Vescovo;Strada Siora Andriana del Vescovo;0.777777777778
0;Via Silvio Pellico;Via Silvio Pellico;1.0
0;Via Ermolao Barbaro;Via Ermolao Barbaro;1.0
1;Via Schiavonia;Via Schiavonia;1.0
0;Via Certosa del Montello;Via Certosa del Montello;1.0
1;Via Sambugole;Via Sambugole;1.0
0;Via Santa Margherita;Via Santa Margherita;1.0
0;Via del Guazzo;Via del Guazzo;1.0
1;Via 55° Fanteria;Via Cinquantacinquesimo Reggimento Fanteria;0.57735026919
0;Vicolo San Zeno A;Vicolo San Zeno A;1.0
1;Via Reginato;Via Enrico Reginato;0.816496580928
2b;Strada San Zeno;Via San Zeno;0.5
0;Porta San Tomaso;Porta San Tomaso;1.0
2;Ponte Ottavi;Ponte Ottavio Ottavi;
1;Via Belloni;Via Ernesto Belloni;0.816496580928
1;Via Libia;Via Libia;1.0
2a;Porta Altinia;Porta Altinia;1.0
1;Via Calabria;Via Calabria;1.0
0;Galleria della Dogana;Galleria della Dogana;1.0
0;Vicolo delle Corti;Vicolo delle Corti;1.0
0;Via Brigata Cadore;Via Brigata Cadore;1.0
0;Via Diacono Paolo;Via Paolo Diacono;1.0
0;Via Bernardo Salomoni;Via Bernardo Salomoni;1.0
1;Via Nazioni Unite;Viale Nazioni Unite;0.666666666667
1;Via Trevisi;Via Trevisi;1.0
2b;Strada di Fontane;Via Fontane;0.555555555556
0;Via Arrigo Boito;Via Arrigo Boito;1.0
2;Via Cavasin;Strada Cavasin;
2b;Vicolo Monte Piana;Vicolo Monte Piana C;0.722222222222
2;Via G. B. Mandruzzato;Via Giovan Battista Mandruzzato;
1;Via Gorizia;Via Gorizia;1.0
0;Via Ugo Bassi;Via Ugo Bassi;1.0
0;Via Luigi Bailo;Via Luigi Bailo;1.0
2b;Strada Vicinale Corti;Strada vicinale delle Corti;0.55
0;Via Domenico Capretta;Via Domenico Capretta;1.0
1;Viale Europa;Viale Europa;1.0
2;Via Filippin;Via Filippini;
0;Via dei Campi sportivi;Via dei Campi Sportivi;1.0
1;Via Eritrea;Via Eritrea;1.0
0;Piazza dei Signori;Piazza dei Signori;1.0
0;Viale Terza Armata;Viale Terza Armata;1.0
1;Via Barberia;Via Barberia;1.0
0;Via Gabriele da Treviso;Via Gabriele da Treviso;1.0
2b;Via Paolo Nanni;Via Paolo Nani;0.953333333333
0;Via Gerardo De Lisa;Via Gerardo De Lisa;1.0
0;Vicolo San Pelaio B;Vicolo San Pelaio B;1.0
1;Via Bibano;Via Bibano;1.0
0;Via Donato Bramante;Via Donato Bramante;1.0
2a;Strada Comunale di San Vitale;Strada comunale di San Vitale;1.0
0;Via Ferruccio Capuzzo;Via Ferruccio Capuzzo;1.0
0;Vicolo Pio La Torre;Vicolo Pio La Torre;1.0
