DEBUG;NOME_VIA;NOME_NORM;DIST
1;Via Cengio;Via Cengio;1.0
1;Via G. Vajenti;Via Giampaolo Vajenti;0.666666666667
0;Via Alessandro Rossi;Via Alessandro Rossi;1.0
0;Via Monte Santo;Via Monte Santo;1.0
0;Stradella San Giacomo;Stradella San Giacomo;1.0
0;Via Gasparoni Giovanni;Via Giovanni Gasparoni;1.0
0;Piazza del Castello;Piazza del Castello;1.0
0;Via Col del Rosso;Via Col del Rosso;1.0
2;Via A. Ferrarin;Viale Arturo Ferrarin;
0;Contra' della Piarda;Contra' della Piarda;1.0
0;Via Francesco Cilea;Via Francesco Cilea;1.0
2b;Viale dell'Oreficeria;Via dell'Oreficeria;0.866666666667
1;Via Vittime Civili di Guerra;Via Vittime Civili di Guerra;1.0
2;Via Roma;Viale Roma;
1;Viale Fiume;Viale Fiume;1.0
0;Strada Ponti di Debba;Strada Ponti di Debba;1.0
1;Via Spalato;Via Spalato;1.0
0;Viale Riviera Berica;Viale Riviera Berica;1.0
0;Via Mario Alberto;Via Alberto Mario;1.0
2b;Via S. Ceccato;Via Silvio Ceccato;0.722222222222
0;Via Antonio Rosmini;Via Antonio Rosmini;1.0
0;Via Bachelet Vittorio;Via Vittorio Bachelet;1.0
0;Via Virgilio Bardella;Via Virgilio Bardella;1.0
0;Contra' San Bortolo;Contra' San Bortolo;1.0
1;Via Volturno;Via Volturno;1.0
0;Via Gamba Bartolomeo;Via Bartolomeo Gamba;1.0
0;Piazzetta Andrea Palladio;Piazzetta Andrea Palladio;1.0
0;Via Fabris Luigi Maria;Via Luigi Maria Fabris;1.0
2;Via Retrone;Via Retrone;
0;Via Battaglione Val Camonica;Via Battaglione Val Camonica;1.0
0;Via Giovanni Da Pedemuro;Via Giovanni da Pedemuro;1.0
0;Viale Ferdinando Rodolfi;Viale Ferdinando Rodolfi;1.0
1;Via Zara;Via Zara;1.0
0;Via Zanon Don Ottorino;Via don Ottorino Zanon;1.0
1;Strada Ambrosini;Strada Ambrosini;1.0
1;Via R. Boschiero;Via Riccardo Boschiero;0.666666666667
1;Via Solferino;Via Solferino;1.0
0;Viale Fusinieri Ambrogio;Viale Ambrogio Fusinieri;1.0
0;Via Lago di Levico;Via Lago di Levico;1.0
0;Viale Giuseppe Verdi;Viale Giuseppe Verdi;1.0
1;Via Pantelleria;Via Pantelleria;1.0
0;Strada di Longara;Strada di Longara;1.0
1;Via A. Turra;Via Antonio Turra;0.666666666667
0;Viale Martiri delle Foibe;Viale Martiri delle Foibe;1.0
0;Via Luigi Palazzolo;Via Luigi Palazzolo;1.0
0;Strada Maglio di Laghetto;Strada Maglio di Laghetto;1.0
0;Via Lago di Ledro;Via Lago di Ledro;1.0
2;Via P. M. Zaguri;Via Pietro Marco Zaguri;
1;Via G. Salvemini;Via Gaetano Salvemini;0.666666666667
2;Svincolo Vicenza Est Dir. Milano;Svincolo Vicenza Est Dir. Milano;
0;Via Boschetti Bartolomeo;Via Bartolomeo Boschetti;1.0
1;Stradella Valmarana;Stradella Valmarana;1.0
1;Via Barbarano;Via Barbarano;1.0
2a;Corso Padova;Corso Padova;1.0
0;Via Enrico Fermi;Via Enrico Fermi;1.0
0;Via Civran Giuseppe;Via Giuseppe Civran;1.0
0;Contra' Santo Stefano;Contra' Santo Stefano;1.0
0;Via Carli Giovanni;Via Giovanni Carli;1.0
1;Viale Trento;Viale Trento;1.0
0;Strada di San Romualdo;Strada di San Romualdo;1.0
0;Via Fasolo Giovanni Antonio;Via Giovanni Antonio Fasolo;1.0
0;Via Francesco Baracca;Via Francesco Baracca;1.0
1;Piazza Araceli;Piazza Araceli;1.0
0;Piazza San Lorenzo;Piazza San Lorenzo;1.0
0;Via Valentino Giaretta;Via Valentino Giaretta;1.0
1;Viale Grappa;Viale Grappa;1.0
1;Via Zamenhof;Via Ludovico Lazzaro Zamenhof;0.707106781187
0;Via Ludovico Lazzaro Zamenhof;Via Ludovico Lazzaro Zamenhof;1.0
0;Via Brigata Regina;Via Brigata Regina;1.0
0;Contra' Mure Corpus Domini;Contra' Mure Corpus Domini;1.0
0;Stradella dei Servi;Stradella dei Servi;1.0
2b;Via Umberto Pototschnig;Via Giorgio Pototschnig;0.638888888889
0;Via dell'Edilizia;Via dell'Edilizia;1.0
2;Pista ciclo-pedonale di via G. Rossini;Pista ciclo-pedonale di via Gioachino Rossini;
0;Via Domenico Meschinelli;Via Domenico Meschinelli;1.0
0;Via Salvo d'Acquisto;Via Salvo d'Acquisto;1.0
0;Via Turati Filippo;Via Filippo Turati;1.0
0;Viale del Lavoro;Viale del Lavoro;1.0
0;Stradella della Rotonda;Stradella della Rotonda;1.0
2a;Via E. Tosato;Via Egidio Tosato;0.816496580928
1;Piazza Pontelandolfo;Piazza Pontelandolfo;1.0
0;Via Salvatore Quasimodo;Via Salvatore Quasimodo;1.0
2a;Via Giovanni Pierluigi da Palestrina;Via Giovanni Pierluigi da Palestrina;0.894427191
0;Strada Padana Verso Verona;Strada Padana verso Verona;1.0
0;Stradella Santa Corona;Stradella Santa Corona;1.0
0;Viale Sant'Agostino;Viale Sant'Agostino;1.0
0;Via Conforto Da Costozza;Via Conforto da Costozza;1.0
1;Via Pordoi;Via Pordoi;1.0
0;Strada di Bisortole;Strada di Bisortole;1.0
0;Via Lago di Garda;Via Lago di Garda;1.0
0;Via Antonio Gramsci;Via Antonio Gramsci;1.0
0;Via Amerigo Vespucci;Via Amerigo Vespucci;1.0
0;Viale Armando Diaz;Viale Armando Diaz;1.0
0;Via Orazio Marinali;Via Orazio Marinali;1.0
0;Via Orazio Antinori;Via Orazio Antinori;1.0
1;Viale Verona;Viale Verona;1.0
0;Via Battaglione Feltre;Via Battaglione Feltre;1.0
1;Via Porretta;Via Porretta;1.0
1;Via A. Brunialti;Via Attilio Brunialti;0.666666666667
1;Via C. Marocco;Via Cesare Marocco;0.666666666667
0;Via Groppino Domenico;Via Domenico Groppino;1.0
2;Rotatoria;DELETE;
1;Via Magenta;Via Magenta;1.0
2b;Via Umberto Rattazzi;Via Urbano Rattazzi;0.642857142857
0;Contra' Busa San Michele;Contra' Busa San Michele;1.0
